track,cond,model,si_sdr_base,si_sdr_enh,pesq_base,pesq_enh,dur_s
track_1,noise,ulunas,20.428894,20.933891,2.935701608657837,3.944427967071533,9.85225
track_1,noise,ulunas,20.211828,24.393421,2.130075693130493,3.368058681488037,9.7635
track_1,noise,ulunas,20.068665,22.293732,2.207188606262207,2.8414180278778076,5.7663125
track_1,noise,ulunas,23.706457,22.089617,2.237624168395996,3.3287477493286133,9.958
track_1,noise,ulunas,16.00965,17.054674,2.042198896408081,2.7061879634857178,9.961
track_1,noise,ulunas,25.020294,26.60326,2.8647754192352295,3.8146004676818848,9.921
track_1,noise,ulunas,18.482807,18.599798,1.7639014720916748,2.9641454219818115,8.737875
track_1,noise,ulunas,19.52731,17.770266,2.4371426105499268,3.016902208328247,5.04475
track_1,noise,ulunas,21.014614,20.422638,3.0900845527648926,3.5469532012939453,9.9625
track_1,noise,ulunas,13.934357,-0.5569177,1.4404945373535156,1.1919187307357788,9.762
track_1,noise,ulunas,15.975141,20.966381,1.5240097045898438,3.048321485519409,10.0
track_1,noise,ulunas,13.096062,17.94265,1.337033748626709,2.2837345600128174,9.9755
track_1,noise,ulunas,32.717155,26.932602,3.540580987930298,3.7899069786071777,9.9395
track_1,noise,ulunas,22.796005,20.21078,1.9897946119308472,2.572497606277466,5.923875
track_1,noise,ulunas,19.61373,25.49202,1.4656388759613037,3.1375393867492676,9.862
track_1,noise,ulunas,20.161713,21.63697,1.6130046844482422,2.9345505237579346,9.986
track_1,noise,ulunas,24.875359,20.303024,2.538987398147583,3.2309951782226562,9.8205
track_1,noise,ulunas,14.169941,19.010973,1.7872114181518555,3.0785207748413086,9.851
track_1,noise,ulunas,12.716641,16.566763,1.271584391593933,2.1654038429260254,9.917
track_1,noise,ulunas,16.474134,12.714129,3.484253168106079,3.44225811958313,9.9765
track_1,noise,ulunas,22.218554,8.016168,2.0144612789154053,3.1904988288879395,4.63125
track_1,noise,ulunas,20.95496,25.947315,3.9443399906158447,3.873750925064087,9.99675
track_1,noise,ulunas,18.756622,21.268063,1.5611494779586792,2.7392711639404297,9.9895
track_1,noise,ulunas,22.289482,24.905413,2.4638538360595703,3.1826860904693604,9.0805
track_1,noise,ulunas,23.10534,13.613512,2.8297083377838135,2.943385601043701,9.9795
track_1,noise,ulunas,18.525307,13.57823,1.943422794342041,2.002804756164551,9.8695
track_1,noise,ulunas,10.467187,23.487532,1.6663130521774292,3.0282793045043945,9.9705
track_1,noise,ulunas,23.107622,25.33407,2.2247233390808105,3.0236804485321045,9.98875
track_1,noise,ulunas,16.715246,22.531631,1.388413906097412,3.270538330078125,7.142125
track_1,noise,ulunas,28.139112,20.644053,2.829357385635376,3.521249771118164,9.944
track_1,noise,ulunas,19.146456,24.51096,1.9033795595169067,3.1961119174957275,9.9575
track_1,noise,ulunas,14.53553,5.748292,1.364506721496582,2.942988634109497,9.98025
track_1,noise,ulunas,29.788416,20.385063,2.301400899887085,2.699702024459839,5.6275
track_1,noise,ulunas,20.966036,18.217876,2.2559754848480225,3.2617106437683105,5.498625
track_1,noise,ulunas,20.466534,14.946533,2.795682430267334,3.0822880268096924,4.689375
